Time	RGRF_X	RGRF_Y	RGRF_Z	LGRF_X	LGRF_Y	LGRF_Z	GRFNET_X	GRFNET_Y	GRFNET_Z	RCOP_X	RCOP_Y	RCOP_Z	LCOP_X	LCOP_Y	LCOP_Z	COPNET_X	COPNET_Y	COPNET_Z	RFREEMOMENT_Y	LFREEMOMENT_Y
0.000000	3.382665	252.222205	-14.661839	-2.118943	278.471485	15.148944	1.263722	530.693670	0.487104	0.221530	0.000000	0.122990	0.235890	0.000000	-0.100150	0.229070	0.000000	0.005901	0.611175	-0.860489
0.010000	3.355551	252.553241	-14.631809	-2.248719	278.096168	15.380855	1.106832	530.649391	0.749047	0.221763	0.000000	0.123078	0.235868	0.000000	-0.100124	0.229158	0.000000	0.006105	0.607992	-0.838859
0.020000	3.324335	252.862671	-14.612915	-2.346096	277.725639	15.562448	0.978240	530.588295	0.949534	0.221971	0.000000	0.123174	0.235855	0.000000	-0.100092	0.229240	0.000000	0.006310	0.603747	-0.818131
0.030000	3.289318	253.134613	-14.611197	-2.387262	277.365745	15.662785	0.902056	530.500349	1.051589	0.222139	0.000000	0.123275	0.235860	0.000000	-0.100052	0.229313	0.000000	0.006511	0.597677	-0.799681
0.040000	3.255877	253.362000	-14.625400	-2.364722	277.023282	15.679449	0.891154	530.385279	1.054049	0.222268	0.000000	0.123365	0.235884	0.000000	-0.100009	0.229379	0.000000	0.006696	0.589529	-0.785288
0.050000	3.230814	253.552332	-14.648450	-2.291199	276.700502	15.634266	0.939614	530.252838	0.985815	0.222378	0.000000	0.123421	0.235924	0.000000	-0.099971	0.229446	0.000000	0.006849	0.579602	-0.776385
0.060000	3.217025	253.731281	-14.671659	-2.197330	276.389214	15.559503	1.019695	530.120506	0.887841	0.222494	0.000000	0.123428	0.235970	0.000000	-0.099945	0.229520	0.000000	0.006968	0.568707	-0.773090
0.070000	3.210567	253.939851	-14.689183	-2.122059	276.070026	15.483022	1.088508	530.009891	0.793836	0.222640	0.000000	0.123389	0.236006	0.000000	-0.099930	0.229602	0.000000	0.007067	0.558084	-0.773715
0.080000	3.202399	254.223070	-14.700216	-2.097937	275.719654	15.419651	1.104462	529.942738	0.719434	0.222830	0.000000	0.123328	0.236019	0.000000	-0.099919	0.229692	0.000000	0.007176	0.549201	-0.775232
0.090000	3.183645	254.613538	-14.707821	-2.137100	275.323354	15.370947	1.046545	529.936905	0.663127	0.223054	0.000000	0.123271	0.236005	0.000000	-0.099902	0.229783	0.000000	0.007323	0.543326	-0.774554
0.100000	3.150787	255.117851	-14.715458	-2.225008	274.884746	15.330798	0.925778	530.002605	0.615341	0.223290	0.000000	0.123241	0.235977	0.000000	-0.099872	0.229870	0.000000	0.007522	0.540980	-0.769945
0.110000	3.107504	255.713734	-14.723771	-2.326270	274.425623	15.292386	0.781232	530.139361	0.568618	0.223504	0.000000	0.123239	0.235952	0.000000	-0.099830	0.229948	0.000000	0.007766	0.541538	-0.761709
