Time	RGRF_X	RGRF_Y	RGRF_Z	LGRF_X	LGRF_Y	LGRF_Z	GRFNET_X	GRFNET_Y	GRFNET_Z	RCOP_X	RCOP_Y	RCOP_Z	LCOP_X	LCOP_Y	LCOP_Z	COPNET_X	COPNET_Y	COPNET_Z	RFREEMOMENT_Y	LFREEMOMENT_Y
0.000000	0.943929	400.178554	-36.857002	1.967803	355.104486	35.744763	2.911732	755.283079	-1.112229	0.217620	0.000000	0.102530	0.217850	0.000000	-0.101960	0.217730	0.000000	0.006390	1.265410	-1.148703
0.010000	0.866101	400.449085	-36.914489	1.838347	354.455011	35.667226	2.704450	754.904111	-1.247258	0.217828	0.000000	0.102607	0.218117	0.000000	-0.101900	0.217965	0.000000	0.006585	1.270637	-1.124305
0.020000	0.775567	400.733621	-36.950270	1.701267	353.841498	35.615621	2.476837	754.575115	-1.334647	0.218040	0.000000	0.102677	0.218363	0.000000	-0.101853	0.218192	0.000000	0.006767	1.272598	-1.105510
0.030000	0.667254	401.022802	-36.951553	1.557922	353.303391	35.602626	2.225179	754.326177	-1.348928	0.218258	0.000000	0.102733	0.218572	0.000000	-0.101830	0.218405	0.000000	0.006921	1.269508	-1.095818
0.040000	0.547292	401.275585	-36.918460	1.420812	352.883166	35.622756	1.968105	754.158730	-1.295706	0.218471	0.000000	0.102771	0.218739	0.000000	-0.101840	0.218594	0.000000	0.007029	1.261792	-1.095317
0.050000	0.431513	401.433110	-36.861522	1.308586	352.620346	35.658835	1.740100	754.053436	-1.202688	0.218664	0.000000	0.102788	0.218869	0.000000	-0.101883	0.218757	0.000000	0.007076	1.251769	-1.100892
0.060000	0.339248	401.448699	-36.795246	1.236075	352.541283	35.694945	1.575323	753.989965	-1.100300	0.218826	0.000000	0.102781	0.218975	0.000000	-0.101950	0.218893	0.000000	0.007054	1.242499	-1.107788
0.070000	0.285162	401.318268	-36.732212	1.205270	352.648584	35.726946	1.490431	753.966839	-1.005264	0.218950	0.000000	0.102752	0.219076	0.000000	-0.102026	0.219007	0.000000	0.006971	1.236416	-1.111766
0.080000	0.272778	401.093745	-36.680636	1.202735	352.914936	35.763710	1.475512	754.008672	-0.916923	0.219042	0.000000	0.102709	0.219186	0.000000	-0.102088	0.219109	0.000000	0.006852	1.234347	-1.110862
0.090000	0.292729	400.869762	-36.644993	1.205177	353.285174	35.818890	1.497906	754.154931	-0.826099	0.219114	0.000000	0.102661	0.219310	0.000000	-0.102121	0.219207	0.000000	0.006729	1.235283	-1.105952
0.100000	0.326817	400.747528	-36.627230	1.190445	353.687742	35.899525	1.517263	754.435271	-0.727702	0.219176	0.000000	0.102621	0.219447	0.000000	-0.102119	0.219305	0.000000	0.006636	1.236918	-1.100003
