Time	RGRF_X	RGRF_Y	RGRF_Z	LGRF_X	LGRF_Y	LGRF_Z	GRFNET_X	GRFNET_Y	GRFNET_Z	RCOP_X	RCOP_Y	RCOP_Z	LCOP_X	LCOP_Y	LCOP_Z	COPNET_X	COPNET_Y	COPNET_Z	RFREEMOMENT_Y	LFREEMOMENT_Y
0.000000	-0.277621	495.461079	-56.056940	16.220597	467.250897	36.880116	15.942966	962.711946	-19.176824	0.230680	0.000000	0.090260	0.209199	0.000000	-0.088410	0.220260	0.000000	0.003540	0.826401	-2.758958
0.010000	-0.317999	496.897559	-56.140146	16.106492	467.129229	37.014416	15.788490	964.026773	-19.125730	0.230911	0.000000	0.090400	0.209410	0.000000	-0.088497	0.220494	0.000000	0.003712	0.803440	-2.764295
0.020000	-0.356665	498.207419	-56.206140	16.011415	467.003347	37.127995	15.654751	965.210764	-19.078145	0.231126	0.000000	0.090537	0.209593	0.000000	-0.088568	0.220706	0.000000	0.003880	0.782342	-2.765693
0.030000	-0.390131	499.297350	-56.249113	15.944746	466.861846	37.211694	15.554619	966.159206	-19.037418	0.231309	0.000000	0.090669	0.209731	0.000000	-0.088616	0.220880	0.000000	0.004037	0.764432	-2.760922
0.040000	-0.413942	500.127996	-56.278664	15.901431	466.685653	37.272736	15.487492	966.813667	-19.005926	0.231457	0.000000	0.090791	0.209827	0.000000	-0.088643	0.221013	0.000000	0.004178	0.750139	-2.750307
0.050000	-0.425204	500.714414	-56.315095	15.865095	466.451422	37.329994	15.439892	967.165859	-18.985099	0.231568	0.000000	0.090897	0.209898	0.000000	-0.088665	0.221115	0.000000	0.004298	0.738935	-2.736118
0.060000	-0.425604	501.107969	-56.378872	15.817350	466.140653	37.401957	15.391747	967.248645	-18.976913	0.231649	0.000000	0.090984	0.209969	0.000000	-0.088700	0.221200	0.000000	0.004391	0.729543	-2.721005
0.070000	-0.422586	501.369024	-56.480691	15.748334	465.751124	37.494015	15.325749	967.120168	-18.986674	0.231708	0.000000	0.091051	0.210057	0.000000	-0.088761	0.221281	0.000000	0.004457	0.720338	-2.706418
0.080000	-0.427190	501.543106	-56.617558	15.662921	465.303519	37.592368	15.235732	966.846638	-19.025188	0.231751	0.000000	0.091105	0.210168	0.000000	-0.088852	0.221363	0.000000	0.004500	0.709790	-2.691895
0.090000	-0.448922	501.650429	-56.776157	15.579409	464.836462	37.668434	15.130488	966.486896	-19.107723	0.231782	0.000000	0.091155	0.210291	0.000000	-0.088964	0.221446	0.000000	0.004527	0.696879	-2.675535
0.100000	-0.489961	501.691196	-56.940427	15.521467	464.389744	37.691947	15.031508	966.080938	-19.248479	0.231803	0.000000	0.091214	0.210410	0.000000	-0.089082	0.221520	0.000000	0.004548	0.681426	-2.655279
0.110000	-0.541870	501.660984	-57.098359	15.507418	463.984914	37.646254	14.965550	965.645893	-19.452106	0.231814	0.000000	0.091291	0.210503	0.000000	-0.089191	0.221576	0.000000	0.004572	0.664251	-2.630205
0.120000	-0.587093	501.565818	-57.244419	15.541939	463.616892	37.538072	14.954847	965.182706	-19.706347	0.231811	0.000000	0.091389	0.210557	0.000000	-0.089278	0.221604	0.000000	0.004608	0.647043	-2.601121
0.130000	-0.605097	501.427886	-57.377196	15.613780	463.264433	37.396844	15.008682	964.692321	-19.980351	0.231791	0.000000	0.091504	0.210562	0.000000	-0.089334	0.221599	0.000000	0.004662	0.631907	-2.570261
0.140000	-0.580368	501.279434	-57.494839	15.700065	462.914096	37.263855	15.119695	964.193536	-20.230984	0.231751	0.000000	0.091625	0.210520	0.000000	-0.089358	0.221560	0.000000	0.004733	0.620692	-2.540388
0.150000	-0.508324	501.149978	-57.591708	15.774919	462.581808	37.176176	15.266592	963.731798	-20.415533	0.231688	0.000000	0.091739	0.210436	0.000000	-0.089353	0.221489	0.000000	0.004815	0.614441	-2.513851
0.160000	-0.396402	501.055658	-57.658386	15.818794	462.316595	37.152782	15.422390	963.372267	-20.505606	0.231602	0.000000	0.091833	0.210319	0.000000	-0.089322	0.221389	0.000000	0.004896	0.613262	-2.492065
0.170000	-0.260375	500.996727	-57.684951	15.825297	462.182544	37.188950	15.564921	963.179283	-20.496003	0.231495	0.000000	0.091902	0.210179	0.000000	-0.089274	0.221266	0.000000	0.004963	0.616680	-2.475521
0.180000	-0.118296	500.962647	-57.665603	15.803663	462.229352	37.260919	15.685367	963.192007	-20.404686	0.231367	0.000000	0.091943	0.210020	0.000000	-0.089212	0.221123	0.000000	0.005007	0.624197	-2.464160
0.190000	0.014889	500.939107	-57.602374	15.776377	462.468961	37.337972	15.791267	963.408071	-20.264404	0.231222	0.000000	0.091960	0.209845	0.000000	-0.089142	0.220961	0.000000	0.005024	0.635632	-2.457790
0.200000	0.130185	500.911034	-57.506426	15.772278	462.871722	37.396089	15.902466	963.782755	-20.110339	0.231060	0.000000	0.091952	0.209654	0.000000	-0.089067	0.220781	0.000000	0.005015	0.650980	-2.456246
0.210000	0.224721	500.859797	-57.396494	15.816539	463.383459	37.427222	16.041263	964.243255	-19.969274	0.230886	0.000000	0.091920	0.209446	0.000000	-0.088993	0.220586	0.000000	0.004980	0.669892	-2.459208
0.220000	0.300370	500.757856	-57.294812	15.920498	463.952452	37.440695	16.220873	964.710309	-19.854121	0.230704	0.000000	0.091865	0.209226	0.000000	-0.088924	0.220378	0.000000	0.004920	0.691208	-2.465824
0.230000	0.362174	500.566649	-57.221295	16.075759	464.550095	37.456717	16.437938	965.116748	-19.764584	0.230517	0.000000	0.091789	0.208999	0.000000	-0.088865	0.220162	0.000000	0.004834	0.712939	-2.474460
0.240000	0.417332	500.242019	-57.187334	16.256345	465.173811	37.495261	16.673682	965.415835	-19.692080	0.230333	0.000000	0.091698	0.208771	0.000000	-0.088817	0.219946	0.000000	0.004719	0.732855	-2.482865
0.250000	0.474601	499.746824	-57.191164	16.429319	465.832856	37.565511	16.903924	965.579685	-19.625660	0.230153	0.000000	0.091604	0.208549	0.000000	-0.088779	0.219731	0.000000	0.004580	0.749385	-2.488809
0.260000	0.543264	499.065379	-57.216955	16.569691	466.529051	37.660916	17.112957	965.594433	-19.556043	0.229977	0.000000	0.091514	0.208330	0.000000	-0.088742	0.219518	0.000000	0.004422	0.762290	-2.490970
0.270000	0.631026	498.212028	-57.238966	16.672571	467.247436	37.762330	17.303598	965.459464	-19.476638	0.229798	0.000000	0.091432	0.208105	0.000000	-0.088699	0.219298	0.000000	0.004254	0.772718	-2.489676
0.280000	0.741086	497.228447	-57.230182	16.756420	467.964173	37.847585	17.497507	965.192619	-19.382597	0.229604	0.000000	0.091354	0.207856	0.000000	-0.088639	0.219059	0.000000	0.004085	0.782623	-2.487072
0.290000	0.869556	496.170343	-57.172486	16.855386	468.666124	37.902382	17.724940	964.836467	-19.270103	0.229387	0.000000	0.091270	0.207567	0.000000	-0.088559	0.218788	0.000000	0.003918	0.793942	-2.486480
0.300000	1.004763	495.090544	-57.063925	17.003731	469.367599	37.926781	18.008492	964.458143	-19.137142	0.229138	0.000000	0.091170	0.207229	0.000000	-0.088461	0.218476	0.000000	0.003749	0.807943	-2.491031
