Time	RGRF_X	RGRF_Y	RGRF_Z	LGRF_X	LGRF_Y	LGRF_Z	GRFNET_X	GRFNET_Y	GRFNET_Z	RCOP_X	RCOP_Y	RCOP_Z	LCOP_X	LCOP_Y	LCOP_Z	COPNET_X	COPNET_Y	COPNET_Z	RFREEMOMENT_Y	LFREEMOMENT_Y
0.000000	8.544330	336.417475	-7.265292	-8.919003	257.031110	7.918750	-0.374674	593.448585	0.653468	0.247938	0.000000	0.075989	0.267449	0.000000	-0.081249	0.256388	0.000000	0.007890	-0.954037	-0.108372
0.010000	8.614407	336.418974	-7.278767	-8.644712	257.651095	7.808426	-0.030305	594.070072	0.529665	0.247724	0.000000	0.075972	0.266940	0.000000	-0.081264	0.256056	0.000000	0.007781	-0.933014	-0.118525
0.020000	8.664735	336.395093	-7.285335	-8.390608	258.259615	7.722244	0.274127	594.654714	0.436912	0.247523	0.000000	0.075949	0.266418	0.000000	-0.081272	0.255726	0.000000	0.007671	-0.915190	-0.127263
0.030000	8.682841	336.326675	-7.279370	-8.170172	258.841080	7.671772	0.512670	595.167762	0.392404	0.247342	0.000000	0.075918	0.265876	0.000000	-0.081266	0.255399	0.000000	0.007561	-0.902366	-0.133798
0.040000	8.666847	336.202482	-7.257953	-7.986862	259.379188	7.651232	0.679987	595.581679	0.393279	0.247179	0.000000	0.075877	0.265323	0.000000	-0.081239	0.255079	0.000000	0.007455	-0.894333	-0.138414
0.050000	8.623786	336.017692	-7.221990	-7.835540	259.863483	7.642067	0.788249	595.881185	0.420078	0.247024	0.000000	0.075824	0.264786	0.000000	-0.081188	0.254770	0.000000	0.007353	-0.889335	-0.142381
0.060000	8.564377	335.770702	-7.176329	-7.707214	260.294678	7.624202	0.857168	596.065390	0.447873	0.246867	0.000000	0.075759	0.264300	0.000000	-0.081121	0.254481	0.000000	0.007254	-0.885261	-0.147505
0.070000	8.497677	335.461646	-7.128202	-7.594572	260.682943	7.587432	0.903112	596.144600	0.459232	0.246701	0.000000	0.075685	0.263898	0.000000	-0.081053	0.254224	0.000000	0.007149	-0.880852	-0.155483
0.080000	8.428560	335.094714	-7.084142	-7.496025	261.038297	7.536706	0.932542	596.133019	0.452566	0.246527	0.000000	0.075609	0.263595	0.000000	-0.081004	0.254004	0.000000	0.007032	-0.876235	-0.167189
0.090000	8.358790	334.683334	-7.046909	-7.416594	261.358394	7.488545	0.942203	596.041731	0.441638	0.246352	0.000000	0.075538	0.263382	0.000000	-0.080989	0.253822	0.000000	0.006905	-0.872562	-0.182107
0.100000	8.290152	334.254674	-7.014393	-7.364939	261.621707	7.460751	0.925220	595.876378	0.446360	0.246182	0.000000	0.075483	0.263223	0.000000	-0.081007	0.253664	0.000000	0.006779	-0.871053	-0.198177
0.110000	8.227075	333.849386	-6.981468	-7.347549	261.791821	7.461202	0.879531	595.641201	0.479735	0.246020	0.000000	0.075452	0.263066	0.000000	-0.081039	0.253510	0.000000	0.006675	-0.872100	-0.212259
0.120000	8.176924	333.514689	-6.943675	-7.363047	261.832895	7.482089	0.813882	595.347578	0.538414	0.245856	0.000000	0.075442	0.262867	0.000000	-0.081056	0.253334	0.000000	0.006617	-0.874981	-0.221124
0.130000	8.147942	333.292385	-6.900246	-7.400000	261.730045	7.502781	0.747944	595.022425	0.602535	0.245669	0.000000	0.075442	0.262602	0.000000	-0.081030	0.253114	0.000000	0.006617	-0.878313	-0.222574
0.140000	8.146338	333.206319	-6.854476	-7.439662	261.504304	7.499584	0.706678	594.710621	0.645108	0.245437	0.000000	0.075434	0.262276	0.000000	-0.080949	0.252839	0.000000	0.006669	-0.880887	-0.216242
